Date,Variable,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambantota,Jaffna,Moneragala,Katugasthota,Katunayake,Kurunagala,Maha Illuppallama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Ratnapura,Trincomalee,Vavuniya,Mattla,Mullaitivu
10/31/2024,Rainfall,0.0,2.2,16.3,0.0,0.0,0.0,0.7,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TR,0.0,0.0,0.0,0.0,39.9,0.0
11/01/2024,Tmax,35.2,30.0,25.5,31.3,31.2,30.3,32.0,33.3,33.8,31.5,31.5,33.1,33.2,31.7,34.5,23.0,33.9,32.0,32.8,33.8,32.0,33.8,32.7,31.6
11/01/2024,Tmin,23.3,20.2,17.0,25.0,24.7,25.0,24.6,25.2,22.6,21.5,24.0,23.3,23.0,25.7,23.8,12.6,24.8,24.0,25.0,22.9,23.8,24.0,23.5,26.0
11/01/2024,Rainfall,28.1,42.2,9.0,0.2,30.9,12.7,0.1,0.3,47.9,25.6,1.2,4.5,34.4,0.0,15.3,9.1,2.3,8.1,4.6,51.9,56.9,40.0,11.7,0.1
11/02/2024,Tmax,33.9,29.1,24.6,30.8,30.6,29.6,32.8,31.0,31.7,29.9,31.3,32.5,31.6,32.0,32.7,21.2,31.4,32.1,31.9,33.1,30.3,31.5,31.9,NA
11/02/2024,Tmin,22.9,19.3,16.8,24.1,24.7,25.2,24.3,24.4,22.5,21.1,23.8,23.2,22.2,25.1,22.9,11.7,24.4,23.9,25.1,22.6,23.4,23.3,23.2,29.2
11/02/2024,Rainfall,42.5,26.5,18.9,7.8,0.4,5.0,1.0,5.5,62.7,28.9,2.5,52.0,78.7,0.2,1.6,26.8,0.7,TR,TR,43.7,0.2,6.2,28.7,0.1
11/03/2024,Tmax,33.9,28.2,24.6,30.7,30.4,29.9,32.1,33.6,31.5,30.7,31.7,32.4,32.4,32.3,33.0,22.3,32.1,32.1,31.1,32.7,31.7,33.1,32.1,31.5
11/03/2024,Tmin,22.7,17.9,15.6,24.4,23.5,23.8,23.6,24.3,20.8,21.0,23.0,22.6,22.2,22.8,22.6,11.3,23.7,23.4,23.5,22.0,23.0,23.2,22.4,24.6
11/03/2024,Rainfall,47.3,0.6,12.0,0.0,2.1,15.7,0.0,5.4,24.6,6.0,11.4,50.2,71.1,48.8,29.5,18.7,0.0,51.3,4.2,41.7,0.0,6.5,TR,0.0
11/04/2024,Tmax,32.0,28.8,25.3,30.8,30.7,29.8,32.0,32.6,31.8,30.3,30.3,32.7,31.9,31.3,31.9,21.5,31.5,31.2,31.6,33.9,30.6,32.0,32.9,31.5
11/04/2024,Tmin,23.2,19.6,17.5,25.0,24.6,24.7,24.6,24.0,23.0,21.6,24.5,23.4,22.9,24.9,23.0,13.6,25.0,23.6,23.7,22.8,23.7,23.4,24.1,25.5
11/04/2024,Rainfall,21.3,38.4,22.6,1.6,9.2,0.8,2.8,TR,5.7,25.8,6.0,29.3,TR,9.1,19.2,28.1,0.0,2.7,111.1,7.4,2.8,15.4,0.6,4.8
11/05/2024,Tmax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2024,Tmin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2024,Rainfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
